state,county,date_stay_at_home_effective
California,Calaveras,2020-03-19
Georgia,Morgan,2020-04-03
Kansas,Ford,2020-03-30
Kentucky,Breckinridge,2020-03-26
Louisiana,Lafourche,2020-03-23
Montana,Silver Bow,2020-03-28
Nebraska,Hamilton,NA
Ohio,Shelby,2020-03-23
Texas,Castro,2020-04-02
Texas,Deaf Smith,2020-04-02
Washington,Pacific,2020-03-23
Nevada,Storey,2020-04-01
Oklahoma,Coal,NA
Kansas,Elk,2020-03-30
California,Contra Costa,2020-03-19
Colorado,Costilla,2020-03-26
Georgia,Clinch,2020-04-03
Georgia,Elbert,2020-04-03
Iowa,Cedar,NA
Louisiana,Catahoula,2020-03-23
Ohio,Montgomery,2020-03-23
Tennessee,Jefferson,2020-03-31
Texas,Limestone,2020-04-02
Texas,Moore,2020-04-02
Virginia,Campbell,2020-03-30
Washington,Stevens,2020-03-23
Puerto Rico,Juncos,NA
North Dakota,Logan,NA
Georgia,Schley,2020-04-03
Georgia,Tattnall,2020-04-03
Kentucky,Webster,2020-03-26
Michigan,Schoolcraft,2020-03-24
Minnesota,Mahnomen,2020-03-27
New Jersey,Camden,2020-03-21
New York,Cortland,2020-03-22
Ohio,Wyandot,2020-03-23
Oregon,Columbia,2020-03-23
Pennsylvania,Centre,2020-04-01
Pennsylvania,Dauphin,2020-04-01
Pennsylvania,Potter,2020-04-01
South Carolina,Florence,NA
Texas,Dallam,2020-04-02
Virginia,Mecklenburg,2020-03-30
Kansas,Kiowa,2020-03-30
Nebraska,Wheeler,NA
New Mexico,De Baca,2020-03-24
Arkansas,Benton,NA
California,Colusa,2020-03-19
Illinois,Effingham,2020-03-21
Iowa,Allamakee,NA
Iowa,Clinton,NA
Iowa,Marion,NA
Kansas,Clay,2020-03-30
Louisiana,Madison,2020-03-23
Mississippi,Marion,2020-04-03
New York,Tioga,2020-03-22
North Dakota,Emmons,NA
Pennsylvania,Lancaster,2020-04-01
Vermont,Orange,2020-03-24
Iowa,Palo Alto,NA
Kansas,Cheyenne,2020-03-30
Oklahoma,Hughes,NA
Alabama,Lowndes,2020-04-04
Alabama,Morgan,2020-04-04
Colorado,Rio Blanco,2020-03-26
Georgia,Butts,2020-04-03
Iowa,Clarke,NA
Iowa,Marshall,NA
Maryland,Somerset,2020-03-30
Michigan,Grand Traverse,2020-03-24
North Carolina,Chatham,2020-03-30
Pennsylvania,Jefferson,2020-04-01
Texas,Bosque,2020-04-02
Texas,El Paso,2020-04-02
Virginia,Fauquier,2020-03-30
Virginia,Manassas city,2020-03-30
Missouri,Texas,2020-04-06
Montana,Sanders,2020-03-28
Colorado,Ouray,2020-03-26
Georgia,Crisp,2020-04-03
Idaho,Nez Perce,2020-03-25
Illinois,Jersey,2020-03-21
Kentucky,Franklin,2020-03-26
Kentucky,Hart,2020-03-26
Louisiana,Ouachita,2020-03-23
Missouri,McDonald,2020-04-06
Missouri,Newton,2020-04-06
Ohio,Defiance,2020-03-23
South Dakota,Turner,NA
Virginia,Greensville,2020-03-30
Virginia,Harrisonburg city,2020-03-30
West Virginia,Jefferson,2020-03-24
Wisconsin,Portage,2020-03-25
Georgia,Glascock,2020-04-03
Georgia,Coweta,2020-04-03
Kentucky,Grayson,2020-03-26
Louisiana,Franklin,2020-03-23
Michigan,Otsego,2020-03-24
Minnesota,Clay,2020-03-27
Minnesota,Roseau,2020-03-27
Mississippi,DeSoto,2020-04-03
Mississippi,Jones,2020-04-03
Missouri,Miller,2020-04-06
New York,Schenectady,2020-03-22
Ohio,Tuscarawas,2020-03-23
Pennsylvania,Crawford,2020-04-01
South Dakota,Beadle,NA
Texas,Scurry,2020-04-02
Virginia,Northampton,2020-03-30
Washington,King,2020-03-23
Idaho,Boundary,2020-03-25
West Virginia,Webster,2020-03-24
California,Inyo,2020-03-19
Florida,Bay,2020-04-03
Florida,Polk,2020-04-03
Georgia,Clayton,2020-04-03
Georgia,Echols,2020-04-03
Indiana,Wells,2020-03-24
Kansas,Chautauqua,2020-03-30
Mississippi,Clarke,2020-04-03
Missouri,Howell,2020-04-06
Missouri,Jasper,2020-04-06
Nebraska,Johnson,NA
Oklahoma,Pittsburg,NA
Tennessee,Carroll,2020-03-31
Texas,Dickens,2020-04-02
Texas,Martin,2020-04-02
Virginia,Goochland,2020-03-30
Virginia,Mathews,2020-03-30
Virginia,Norfolk city,2020-03-30
Wyoming,Uinta,NA
Puerto Rico,Isabela,NA
Puerto Rico,Morovis,NA
Alabama,St. Clair,2020-04-04
Arkansas,Carroll,NA
Georgia,Warren,2020-04-03
Idaho,Jefferson,2020-03-25
Illinois,Macoupin,2020-03-21
Indiana,Franklin,2020-03-24
Iowa,Louisa,NA
Kentucky,Leslie,2020-03-26
Kentucky,McCracken,2020-03-26
Louisiana,Livingston,2020-03-23
Michigan,Oceana,2020-03-24
Michigan,Saginaw,2020-03-24
Minnesota,Scott,2020-03-27
Missouri,Pemiscot,2020-04-06
New York,Orleans,2020-03-22
Tennessee,Hardeman,2020-03-31
Vermont,Lamoille,2020-03-24
Puerto Rico,Corozal,NA
Puerto Rico,Jayuya,NA
North Dakota,Billings,NA
Alabama,Monroe,2020-04-04
Colorado,Alamosa,2020-03-26
Florida,Clay,2020-04-03
Indiana,Howard,2020-03-24
Kansas,Riley,2020-03-30
Ohio,Medina,2020-03-23
Tennessee,Hawkins,2020-03-31
Texas,Cass,2020-04-02
Texas,Roberts,2020-04-02
Washington,Benton,2020-03-23
California,Trinity,2020-03-19
Kansas,Gray,2020-03-30
North Dakota,Benson,NA
Texas,Reeves,2020-04-02
Alaska,Prince of Wales-Hyder Census Area,2020-03-28
California,San Joaquin,2020-03-19
Georgia,Harris,2020-04-03
Illinois,Fulton,2020-03-21
Indiana,Daviess,2020-03-24
Iowa,Scott,NA
Kentucky,Lyon,2020-03-26
Louisiana,Lincoln,2020-03-23
Nebraska,Wayne,NA
New Mexico,Catron,2020-03-24
New York,Schoharie,2020-03-22
Ohio,Muskingum,2020-03-23
Oklahoma,Major,NA
South Carolina,Jasper,NA
South Dakota,Charles Mix,NA
South Dakota,Corson,NA
Tennessee,Cumberland,2020-03-31
Tennessee,Wayne,2020-03-31
Texas,Jack,2020-04-02
Texas,Terry,2020-04-02
Utah,Washington,NA
Washington,Lincoln,2020-03-23
Wisconsin,Marquette,2020-03-25
Puerto Rico,Naguabo,NA
Texas,Presidio,2020-04-02
Arizona,Cochise,2020-03-31
Florida,Volusia,2020-04-03
Georgia,Bacon,2020-04-03
Indiana,Adams,2020-03-24
Indiana,Brown,2020-03-24
Kansas,Geary,2020-03-30
Michigan,Kalamazoo,2020-03-24
Minnesota,Murray,2020-03-27
Nevada,Nye,2020-04-01
New Jersey,Middlesex,2020-03-21
North Carolina,Caswell,2020-03-30
Tennessee,Moore,2020-03-31
West Virginia,Logan,2020-03-24
Wisconsin,Iron,2020-03-25
Kansas,Lincoln,2020-03-30
Alaska,Anchorage,2020-03-28
Arkansas,Sebastian,NA
Colorado,El Paso,2020-03-26
Illinois,Stark,2020-03-21
Iowa,Kossuth,NA
Louisiana,Iberville,2020-03-23
Louisiana,Red River,2020-03-23
Michigan,Huron,2020-03-24
Missouri,New Madrid,2020-04-06
New Jersey,Warren,2020-03-21
North Dakota,Mountrail,NA
Oregon,Jackson,2020-03-23
Tennessee,Sumner,2020-03-31
Texas,Montague,2020-04-02
Texas,Starr,2020-04-02
Kentucky,Estill,2020-03-26
Nebraska,Chase,NA
Kansas,Wichita,2020-03-30
Montana,Judith Basin,2020-03-28
Colorado,Elbert,2020-03-26
Georgia,Johnson,2020-04-03
Georgia,Talbot,2020-04-03
Kansas,Kearny,2020-03-30
New Jersey,Salem,2020-03-21
North Carolina,Burke,2020-03-30
North Dakota,Sioux,NA
Rhode Island,Kent,2020-03-28
Utah,Duchesne,NA
Washington,Snohomish,2020-03-23
West Virginia,Kanawha,2020-03-24
Puerto Rico,Las Piedras,NA
Kansas,Trego,2020-03-30
Arkansas,Arkansas,NA
Florida,Sumter,2020-04-03
Georgia,Dodge,2020-04-03
Idaho,Elmore,2020-03-25
Idaho,Madison,2020-03-25
Iowa,Clay,NA
Iowa,Hardin,NA
Iowa,Montgomery,NA
Kentucky,Hancock,2020-03-26
Kentucky,Muhlenberg,2020-03-26
Maryland,Anne Arundel,2020-03-30
Massachusetts,Suffolk,2020-03-24
New Mexico,Guadalupe,2020-03-24
North Carolina,Cabarrus,2020-03-30
Pennsylvania,Wyoming,2020-04-01
Texas,Hill,2020-04-02
Virgin Islands,St. John,NA
Virginia,Montgomery,2020-03-30
Puerto Rico,Guayanilla,NA
Puerto Rico,Ponce,NA
Texas,Brewster,2020-04-02
Florida,Highlands,2020-04-03
Georgia,Pierce,2020-04-03
Indiana,Ohio,2020-03-24
Iowa,Washington,NA
Michigan,Luce,2020-03-24
Montana,Cascade,2020-03-28
Ohio,Noble,2020-03-23
Oklahoma,Greer,NA
South Carolina,Darlington,NA
Kentucky,Carlisle,2020-03-26
Nebraska,Frontier,NA
Idaho,Cassia,2020-03-25
Indiana,Cass,2020-03-24
Iowa,Chickasaw,NA
Kansas,Dickinson,2020-03-30
Kentucky,Mason,2020-03-26
Missouri,Cass,2020-04-06
Oklahoma,Tulsa,NA
South Dakota,McCook,NA
Texas,Comal,2020-04-02
Utah,Kane,NA
West Virginia,Fayette,2020-03-24
Wisconsin,Dunn,2020-03-25
North Dakota,Towner,NA
Alabama,Lauderdale,2020-04-04
Idaho,Adams,2020-03-25
Kentucky,Lincoln,2020-03-26
Minnesota,Washington,2020-03-27
Mississippi,Grenada,2020-04-03
Pennsylvania,Greene,2020-04-01
Vermont,Windsor,2020-03-24
Wisconsin,Richland,2020-03-25
Utah,Piute,NA
Montana,Teton,2020-03-28
Kansas,Russell,2020-03-30
Hawaii,Kauai,2020-03-25
Louisiana,Jefferson Davis,2020-03-23
Maryland,Garrett,2020-03-30
Michigan,Wexford,2020-03-24
Mississippi,Jasper,2020-04-03
Mississippi,Wayne,2020-04-03
North Carolina,Chowan,2020-03-30
Texas,Brazos,2020-04-02
Virginia,King William,2020-03-30
Virginia,Prince Edward,2020-03-30
Washington,Whatcom,2020-03-23
Wisconsin,Oconto,2020-03-25
Virginia,Covington city,2020-03-30
Texas,Irion,2020-04-02
Texas,Kinney,2020-04-02
Arkansas,Randolph,NA
Florida,Collier,2020-04-03
Illinois,Adams,2020-03-21
Kansas,Marion,2020-03-30
Maine,Sagadahoc,2020-04-02
Michigan,Montmorency,2020-03-24
Missouri,Ripley,2020-04-06
Missouri,Ste. Genevieve,2020-04-06
New Mexico,Roosevelt,2020-03-24
North Carolina,Haywood,2020-03-30
Ohio,Jefferson,2020-03-23
Ohio,Perry,2020-03-23
South Dakota,Sully,NA
Washington,Clark,2020-03-23
Wisconsin,Barron,2020-03-25
Illinois,Edwards,2020-03-21
Minnesota,Pennington,2020-03-27
Puerto Rico,Trujillo Alto,NA
Alabama,Geneva,2020-04-04
Arkansas,Franklin,NA
California,Monterey,2020-03-19
Idaho,Jerome,2020-03-25
Iowa,Bremer,NA
Kentucky,Meade,2020-03-26
Minnesota,Koochiching,2020-03-27
Missouri,Buchanan,2020-04-06
New York,Greene,2020-03-22
Ohio,Van Wert,2020-03-23
Wisconsin,Wood,2020-03-25
Colorado,San Juan,2020-03-26
Kansas,Lane,2020-03-30
Florida,Charlotte,2020-04-03
Georgia,Wilkinson,2020-04-03
Illinois,Monroe,2020-03-21
Iowa,Muscatine,NA
Kansas,Neosho,2020-03-30
Michigan,Midland,2020-03-24
North Carolina,New Hanover,2020-03-30
North Carolina,Surry,2020-03-30
North Carolina,Wilkes,2020-03-30
Virginia,Dinwiddie,2020-03-30
West Virginia,Brooke,2020-03-24
West Virginia,Mineral,2020-03-24
Wisconsin,Brown,2020-03-25
California,Lassen,2020-03-19
Illinois,Stephenson,2020-03-21
Indiana,Shelby,2020-03-24
Kansas,Gove,2020-03-30
Kansas,Shawnee,2020-03-30
Minnesota,Renville,2020-03-27
Mississippi,Benton,2020-04-03
New Mexico,Valencia,2020-03-24
New York,Erie,2020-03-22
North Carolina,Polk,2020-03-30
North Dakota,Grant,NA
North Dakota,Rolette,NA
Oklahoma,Mayes,NA
Oregon,Hood River,2020-03-23
Oregon,Wasco,2020-03-23
Tennessee,Greene,2020-03-31
Tennessee,Trousdale,2020-03-31
Puerto Rico,Mayaguez,NA
Virginia,Highland,2020-03-30
South Dakota,Campbell,NA
Nebraska,Deuel,NA
Montana,Prairie,2020-03-28
Alabama,Barbour,2020-04-04
Florida,Washington,2020-04-03
Georgia,Walker,2020-04-03
Indiana,Clark,2020-03-24
Louisiana,Calcasieu,2020-03-23
Minnesota,Aitkin,2020-03-27
Mississippi,Scott,2020-04-03
North Carolina,Northampton,2020-03-30
North Carolina,Rowan,2020-03-30
South Carolina,Colleton,NA
Tennessee,Stewart,2020-03-31
Texas,Swisher,2020-04-02
Virginia,Buena Vista city,2020-03-30
Alabama,Bibb,2020-04-04
Georgia,Candler,2020-04-03
Georgia,Clay,2020-04-03
Georgia,Lincoln,2020-04-03
Georgia,Mitchell,2020-04-03
Indiana,White,2020-03-24
New Jersey,Essex,2020-03-21
Tennessee,Scott,2020-03-31
Tennessee,Sequatchie,2020-03-31
Texas,Leon,2020-04-02
Texas,Nacogdoches,2020-04-02
Utah,Davis,NA
Virginia,Augusta,2020-03-30
Iowa,Emmet,NA
Puerto Rico,Vieques,NA
Texas,Sutton,2020-04-02
Nebraska,Dundy,NA
Texas,Loving,2020-04-02
Alabama,DeKalb,2020-04-04
Georgia,Baker,2020-04-03
Illinois,Cook,2020-03-21
Kansas,Cowley,2020-03-30
Massachusetts,Middlesex,2020-03-24
Massachusetts,Norfolk,2020-03-24
Missouri,St. Francois,2020-04-06
New Jersey,Hudson,2020-03-21
New Jersey,Sussex,2020-03-21
New York,Wayne,2020-03-22
Virginia,Nottoway,2020-03-30
Virginia,Stafford,2020-03-30
Virginia,Suffolk city,2020-03-30
Wisconsin,Outagamie,2020-03-25
Wyoming,Laramie,NA
Kansas,Grant,2020-03-30
Oregon,Harney,2020-03-23
South Dakota,McPherson,NA
Arkansas,Monroe,NA
Minnesota,Redwood,2020-03-27
Mississippi,Smith,2020-04-03
Montana,Toole,2020-03-28
Nebraska,Gage,NA
New Mexico,Torrance,2020-03-24
Ohio,Portage,2020-03-23
South Carolina,Bamberg,NA
Tennessee,Robertson,2020-03-31
West Virginia,Lincoln,2020-03-24
Illinois,Pope,2020-03-21
Iowa,Decatur,NA
North Dakota,Kidder,NA
Tennessee,Hancock,2020-03-31
Oregon,Gilliam,2020-03-23
Arkansas,Johnson,NA
Colorado,Arapahoe,2020-03-26
Colorado,Douglas,2020-03-26
Indiana,Madison,2020-03-24
Michigan,Delta,2020-03-24
Minnesota,Blue Earth,2020-03-27
Nebraska,Antelope,NA
Nebraska,Stanton,NA
Ohio,Delaware,2020-03-23
Oklahoma,Payne,NA
Oregon,Crook,2020-03-23
Pennsylvania,York,2020-04-01
South Dakota,Hutchinson,NA
Texas,Midland,2020-04-02
Texas,Tom Green,2020-04-02
Utah,Iron,NA
West Virginia,Hampshire,2020-03-24
Kansas,Clark,2020-03-30
Puerto Rico,Adjuntas,NA
Idaho,Lewis,2020-03-25
Alabama,Elmore,2020-04-04
California,Sacramento,2020-03-19
Connecticut,Windham,2020-03-23
Kentucky,Daviess,2020-03-26
Kentucky,Wayne,2020-03-26
Maryland,Talbot,2020-03-30
Massachusetts,Hampshire,2020-03-24
Mississippi,Jefferson Davis,2020-04-03
Ohio,Coshocton,2020-03-23
Texas,Austin,2020-04-02
Texas,Hays,2020-04-02
Virginia,Bedford,2020-03-30
Virginia,Louisa,2020-03-30
Virginia,Winchester city,2020-03-30
Iowa,Ida,NA
Texas,Fisher,2020-04-02
North Dakota,Cavalier,NA
Arizona,Coconino,2020-03-31
Arkansas,Lincoln,NA
California,Butte,2020-03-19
Georgia,Fayette,2020-04-03
Georgia,Liberty,2020-04-03
Georgia,Screven,2020-04-03
Kentucky,Greenup,2020-03-26
Kentucky,Livingston,2020-03-26
Maine,Oxford,2020-04-02
Mississippi,Perry,2020-04-03
Nebraska,Adams,NA
Nebraska,Otoe,NA
North Carolina,Lincoln,2020-03-30
Ohio,Marion,2020-03-23
Tennessee,Franklin,2020-03-31
Texas,Coryell,2020-04-02
Missouri,Dent,2020-04-06
Nebraska,Hitchcock,NA
Puerto Rico,Toa Alta,NA
Missouri,Shannon,2020-04-06
Kansas,Graham,2020-03-30
Georgia,Lanier,2020-04-03
Georgia,Telfair,2020-04-03
Idaho,Washington,2020-03-25
Illinois,Pulaski,2020-03-21
Louisiana,Iberia,2020-03-23
Michigan,Baraga,2020-03-24
Michigan,Menominee,2020-03-24
New Jersey,Morris,2020-03-21
New York,Nassau,2020-03-22
North Dakota,Ramsey,NA
Oklahoma,Dewey,NA
Tennessee,Fentress,2020-03-31
Texas,Karnes,2020-04-02
Texas,San Jacinto,2020-04-02
Texas,Victoria,2020-04-02
Florida,Citrus,2020-04-03
Georgia,Jeff Davis,2020-04-03
Illinois,Kankakee,2020-03-21
Indiana,Hancock,2020-03-24
Missouri,Worth,2020-04-06
North Carolina,Currituck,2020-03-30
Ohio,Hancock,2020-03-23
Pennsylvania,Clearfield,2020-04-01
Tennessee,Fayette,2020-03-31
Texas,Lynn,2020-04-02
Texas,Tarrant,2020-04-02
Utah,Utah,NA
Vermont,Caledonia,2020-03-24
West Virginia,Cabell,2020-03-24
Puerto Rico,Rio Grande,NA
Texas,Edwards,2020-04-02
Florida,Miami-Dade,2020-04-03
Indiana,Steuben,2020-03-24
Kansas,Osborne,2020-03-30
Mississippi,Marshall,2020-04-03
Montana,Lincoln,2020-03-28
Ohio,Miami,2020-03-23
South Carolina,Berkeley,NA
Tennessee,Lincoln,2020-03-31
Texas,Hale,2020-04-02
Texas,Hartley,2020-04-02
Texas,Jackson,2020-04-02
Texas,Zapata,2020-04-02
Virginia,King George,2020-03-30
Virginia,Lexington city,2020-03-30
Virginia,Powhatan,2020-03-30
Wisconsin,Crawford,2020-03-25
Wyoming,Johnson,NA
Kansas,Harper,2020-03-30
Kansas,Thomas,2020-03-30
Illinois,Winnebago,2020-03-21
Iowa,Appanoose,NA
Louisiana,St. Mary,2020-03-23
Maryland,Howard,2020-03-30
Michigan,Alpena,2020-03-24
Missouri,Greene,2020-04-06
Nebraska,Saline,NA
Oklahoma,Beaver,NA
Oklahoma,Le Flore,NA
South Carolina,Greenville,NA
Washington,Jefferson,2020-03-23
South Dakota,Hand,NA
Georgia,Lee,2020-04-03
Iowa,Mahaska,NA
Kentucky,Pike,2020-03-26
Minnesota,Marshall,2020-03-27
Mississippi,Rankin,2020-04-03
New Jersey,Bergen,2020-03-21
Ohio,Wayne,2020-03-23
Tennessee,Polk,2020-03-31
Virginia,Orange,2020-03-30
Wisconsin,Clark,2020-03-25
Idaho,Lemhi,2020-03-25
Texas,Ochiltree,2020-04-02
North Carolina,Avery,2020-03-30
Alabama,Conecuh,2020-04-04
Georgia,Chatham,2020-04-03
Georgia,Randolph,2020-04-03
Indiana,Parke,2020-03-24
Iowa,Delaware,NA
Kentucky,Russell,2020-03-26
Missouri,Maries,2020-04-06
Missouri,Vernon,2020-04-06
Montana,Hill,2020-03-28
Pennsylvania,Mifflin,2020-04-01
Tennessee,Marshall,2020-03-31
Texas,Dawson,2020-04-02
Texas,Wilson,2020-04-02
Virginia,Charlotte,2020-03-30
Puerto Rico,Orocovis,NA
Missouri,Dade,2020-04-06
South Dakota,Potter,NA
California,Yolo,2020-03-19
Georgia,Worth,2020-04-03
Michigan,Cass,2020-03-24
Minnesota,Wilkin,2020-03-27
Rhode Island,Newport,2020-03-28
Texas,Cameron,2020-04-02
Virginia,Buchanan,2020-03-30
Virginia,Poquoson city,2020-03-30
West Virginia,Lewis,2020-03-24
West Virginia,Pleasants,2020-03-24
Montana,Wheatland,2020-03-28
Kentucky,Elliott,2020-03-26
Oklahoma,Harmon,NA
Alabama,Tallapoosa,2020-04-04
Alaska,Kenai Peninsula Borough,2020-03-28
Alaska,Kodiak Island Borough,2020-03-28
Arizona,Apache,2020-03-31
Iowa,Jackson,NA
Louisiana,Jackson,2020-03-23
Missouri,Cooper,2020-04-06
Missouri,Lincoln,2020-04-06
New Mexico,Sandoval,2020-03-24
Oklahoma,Seminole,NA
Texas,Madison,2020-04-02
Texas,Uvalde,2020-04-02
Virginia,Hopewell city,2020-03-30
Iowa,Wayne,NA
Montana,Valley,2020-03-28
Arkansas,Pulaski,NA
Iowa,Mills,NA
Maryland,Queen Anne's,2020-03-30
Maryland,Worcester,2020-03-30
Missouri,Henry,2020-04-06
Oregon,Grant,2020-03-23
Pennsylvania,Tioga,2020-04-01
Tennessee,Washington,2020-03-31
Texas,Goliad,2020-04-02
Washington,Island,2020-03-23
Wyoming,Albany,NA
Montana,Powell,2020-03-28
Georgia,Hancock,2020-04-03
Illinois,Bureau,2020-03-21
Mississippi,Forrest,2020-04-03
North Carolina,Ashe,2020-03-30
North Dakota,Pierce,NA
Oklahoma,Stephens,NA
South Carolina,Lexington,NA
Texas,Houston,2020-04-02
West Virginia,Upshur,2020-03-24
Puerto Rico,Naranjito,NA
Alaska,Haines Borough,2020-03-28
Kansas,Kingman,2020-03-30
Alabama,Washington,2020-04-04
Arizona,Greenlee,2020-03-31
Colorado,Park,2020-03-26
Maryland,Calvert,2020-03-30
Nebraska,Buffalo,NA
North Dakota,Stutsman,NA
Texas,Bee,2020-04-02
Texas,Burnet,2020-04-02
Texas,Gonzales,2020-04-02
Texas,Hockley,2020-04-02
Texas,Rockwall,2020-04-02
Virginia,Henry,2020-03-30
West Virginia,Grant,2020-03-24
Alaska,Sitka City and Borough,2020-03-28
Nebraska,Boone,NA
Puerto Rico,Yabucoa,NA
Texas,Haskell,2020-04-02
West Virginia,Gilmer,2020-03-24
Colorado,Adams,2020-03-26
Florida,Pinellas,2020-04-03
Georgia,Madison,2020-04-03
Illinois,Lee,2020-03-21
Iowa,Audubon,NA
Nebraska,Kearney,NA
Oklahoma,Atoka,NA
Oklahoma,Creek,NA
Oklahoma,Love,NA
Pennsylvania,Huntingdon,2020-04-01
Texas,Lamb,2020-04-02
Texas,Stephens,2020-04-02
Virginia,Isle of Wight,2020-03-30
West Virginia,Wirt,2020-03-24
Wyoming,Campbell,NA
Puerto Rico,Carolina,NA
South Dakota,Day,NA
Wyoming,Platte,NA
Montana,McCone,2020-03-28
Montana,Sweet Grass,2020-03-28
Idaho,Payette,2020-03-25
Michigan,Sanilac,2020-03-24
Ohio,Butler,2020-03-23
Oklahoma,Grant,NA
Utah,Millard,NA
Virginia,Chesapeake city,2020-03-30
Iowa,Pocahontas,NA
Minnesota,Pope,2020-03-27
Puerto Rico,Barceloneta,NA
Nebraska,Arthur,NA
Nebraska,Blaine,NA
Alabama,Coffee,2020-04-04
Alabama,Perry,2020-04-04
Arkansas,Lee,NA
Georgia,Ben Hill,2020-04-03
Georgia,Burke,2020-04-03
Idaho,Minidoka,2020-03-25
Illinois,Cass,2020-03-21
Illinois,Douglas,2020-03-21
Kansas,Doniphan,2020-03-30
Kansas,Stevens,2020-03-30
Mississippi,Stone,2020-04-03
Missouri,Clark,2020-04-06
Missouri,Lewis,2020-04-06
North Carolina,Johnston,2020-03-30
Oklahoma,Tillman,NA
South Carolina,Calhoun,NA
Tennessee,Bedford,2020-03-31
Texas,Harris,2020-04-02
Texas,Walker,2020-04-02
Utah,Wasatch,NA
Virginia,Colonial Heights city,2020-03-30
Wisconsin,Lincoln,2020-03-25
Texas,Stonewall,2020-04-02
South Dakota,Harding,NA
